"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"부산광역시 수영구 남천제2동(2650067000)","13,291","5,675","          2.34","6,152","7,139","          0.86"
"부산광역시 수영구 수영동(2650073000)","13,407","7,703","          1.74","6,380","7,027","          0.91"
"부산광역시 수영구 망미제1동(2650074000)","24,845","11,991","          2.07","11,752","13,093","          0.90"
"부산광역시 수영구 망미제2동(2650075000)","9,443","4,742","          1.99","4,576","4,867","          0.94"
"부산광역시 수영구 광안제1동(2650076000)","24,318","14,620","          1.66","11,218","13,100","          0.86"
"부산광역시 수영구 광안제2동(2650077000)","17,759","9,888","          1.80","8,229","9,530","          0.86"
"부산광역시 수영구 광안제3동(2650078000)","8,900","5,998","          1.48","4,202","4,698","          0.89"
"부산광역시 수영구 광안제4동(2650079000)","13,088","6,406","          2.04","5,879","7,209","          0.82"
"부산광역시 수영구 민락동(2650080000)","26,954","13,216","          2.04","12,930","14,024","          0.92"
"부산광역시 사상구 (2653000000)","192,475","98,688","          1.95","96,004","96,471","          1.00"
"부산광역시 사상구 삼락동(2653058000)","4,708","2,782","          1.69","2,437","2,271","          1.07"
"부산광역시 사상구 모라제1동(2653059100)","25,040","12,085","          2.07","12,373","12,667","          0.98"
"부산광역시 사상구 모라제3동(2653059300)","8,500","6,008","          1.41","4,019","4,481","          0.90"
"부산광역시 사상구 덕포제1동(2653060000)","11,431","5,531","          2.07","5,731","5,700","          1.01"
"부산광역시 사상구 덕포제2동(2653061000)","11,492","5,558","          2.07","5,774","5,718","          1.01"
"부산광역시 사상구 괘법동(2653062000)","24,139","14,928","          1.62","12,329","11,810","          1.04"
"부산광역시 사상구 감전동(2653064500)","11,190","6,641","          1.68","5,855","5,335","          1.10"
"부산광역시 사상구 주례제1동(2653065000)","15,933","7,058","          2.26","7,988","7,945","          1.01"
"부산광역시 사상구 주례제2동(2653066000)","20,586","11,227","          1.83","10,265","10,321","          0.99"
"부산광역시 사상구 주례제3동(2653066100)","11,484","5,475","          2.10","5,543","5,941","          0.93"
"부산광역시 사상구 학장동(2653067000)","24,993","11,875","          2.10","12,311","12,682","          0.97"
"부산광역시 사상구 엄궁동(2653068000)","22,979","9,520","          2.41","11,379","11,600","          0.98"
"부산광역시 기장군 (2671000000)","175,262","80,774","          2.17","86,901","88,361","          0.98"
"부산광역시 기장군 기장읍(2671025000)","50,698","26,274","          1.93","24,790","25,908","          0.96"
"부산광역시 기장군 장안읍(2671025300)","8,398","4,877","          1.72","4,575","3,823","          1.20"
"부산광역시 기장군 정관읍(2671025600)","77,217","31,699","          2.44","38,296","38,921","          0.98"
"부산광역시 기장군 일광읍(2671025900)","31,853","14,163","          2.25","15,700","16,153","          0.97"
"부산광역시 기장군 철마면(2671033000)","7,096","3,761","          1.89","3,540","3,556","          1.00"
